target_id	length	eff_length	est_counts	tpm
TRINITY_DN4725_c0_g1_i1	732	601.815	0	0
TRINITY_DN4795_c0_g1_i1	316	191.402	0	0
TRINITY_DN4747_c0_g1_i1	250	131.822	0	0
TRINITY_DN4709_c0_g1_i1	633	502.869	0	0
TRINITY_DN4706_c0_g1_i1	732	601.815	0	0
TRINITY_DN4715_c0_g1_i1	452	323.111	0	0
TRINITY_DN4722_c0_g1_i1	470	340.844	0	0
TRINITY_DN4775_c0_g1_i1	201	92.7718	0	0
TRINITY_DN4791_c0_g1_i1	777	646.815	0	0
TRINITY_DN4746_c0_g1_i1	974	843.815	0	0
TRINITY_DN4703_c0_g1_i1	788	657.815	0	0
TRINITY_DN4760_c0_g1_i1	649	518.869	0	0
TRINITY_DN4749_c0_g1_i1	859	728.815	0	0
TRINITY_DN4773_c0_g1_i1	551	421.05	0	0
TRINITY_DN4718_c0_g1_i1	509	379.446	0	0
TRINITY_DN4751_c0_g1_i1	236	120.171	0	0
TRINITY_DN4726_c0_g1_i1	649	518.869	0	0
TRINITY_DN4727_c0_g1_i1	608	477.869	0	0
TRINITY_DN4724_c0_g1_i1	219	106.604	0	0
TRINITY_DN4778_c1_g1_i1	242	125.326	0	0
TRINITY_DN4766_c0_g1_i1	635	504.869	0	0
TRINITY_DN4776_c0_g1_i1	384	256.544	0	0
TRINITY_DN4764_c0_g1_i1	851	720.815	0	0
TRINITY_DN4762_c0_g1_i1	242	125.326	0	0
TRINITY_DN4721_c0_g1_i1	224	110.06	0	0
TRINITY_DN4758_c0_g1_i1	597	466.869	0	0
TRINITY_DN4785_c0_g1_i1	228	113.52	0	0
TRINITY_DN4796_c0_g1_i1	370	243.098	0	0
TRINITY_DN4781_c0_g1_i1	234	118.546	0	0
TRINITY_DN4788_c0_g1_i1	613	482.869	0	0
TRINITY_DN4759_c0_g1_i1	493	363.596	0	0
TRINITY_DN4743_c0_g1_i1	271	150.054	0	0
TRINITY_DN4789_c0_g1_i1	731	600.815	0	0
TRINITY_DN4707_c0_g1_i1	523	393.254	0	0
TRINITY_DN4748_c0_g1_i1	594	463.962	0	0
TRINITY_DN4761_c0_g1_i1	558	428.05	0	0
TRINITY_DN4794_c0_g1_i1	813	682.815	0	0
TRINITY_DN4799_c0_g1_i1	305	181.064	0	0
TRINITY_DN4772_c0_g1_i1	1349	1218.82	0	0
TRINITY_DN4786_c0_g1_i1	559	429.008	0	0
TRINITY_DN4787_c0_g1_i1	229	114.395	0	0
TRINITY_DN4720_c0_g1_i1	848	717.815	0	0
TRINITY_DN4700_c0_g1_i1	525	395.214	0	0
TRINITY_DN4729_c0_g1_i1	528	398.214	0	0
TRINITY_DN4755_c0_g1_i1	1083	952.815	0	0
TRINITY_DN4780_c0_g1_i1	389	261.363	0	0
TRINITY_DN4734_c0_g1_i1	684	553.815	0	0
TRINITY_DN4765_c0_g1_i1	425	296.547	0	0
TRINITY_DN4714_c0_g1_i1	413	284.81	0	0
TRINITY_DN4768_c0_g1_i1	221	107.972	0	0
TRINITY_DN4730_c0_g1_i1	527	397.214	0	0
TRINITY_DN4798_c0_g1_i1	259	139.518	0	0
TRINITY_DN4782_c0_g1_i1	203	94.2954	0	0
