TRINITY_DN88451_c0_g1_i3	RXOD01005915.1	74.359	117	23	4	1066	1179	4892	5004	5.72e-09	65.3
TRINITY_DN88451_c0_g1_i6	RXOD01005915.1	74.359	117	23	4	929	1042	4892	5004	5.25e-09	65.3
TRINITY_DN88451_c0_g1_i5	RXOD01012696.1	69.403	134	38	1	352	485	1055	925	1.92e-06	56.3
TRINITY_DN88451_c0_g1_i4	RXOD01012696.1	69.403	134	38	1	352	485	1055	925	1.32e-06	56.3
TRINITY_DN88422_c0_g1_i5	RXOD01013025.1	75.352	142	33	2	1	141	1276	1416	4.42e-18	92.4
TRINITY_DN88422_c0_g1_i10	RXOD01013025.1	66.764	343	84	5	1	327	1276	1604	3.32e-23	110
TRINITY_DN88422_c0_g1_i2	RXOD01013025.1	65.889	343	87	5	1	327	1276	1604	2.10e-19	96.9
TRINITY_DN88422_c0_g1_i1	RXOD01013025.1	67.055	343	83	5	1	327	1276	1604	7.81e-25	114
TRINITY_DN88422_c0_g1_i6	RXOD01013025.1	67.155	341	79	8	1	324	1276	1600	1.19e-21	104
TRINITY_DN88429_c1_g2_i1	RXOD01011064.1	77.083	96	22	0	46	141	144	239	7.74e-13	75.2
TRINITY_DN88429_c2_g1_i1	RXOD01004035.1	81.132	53	10	0	335	387	20801	20853	8.08e-06	51.8
TRINITY_DN21473_c0_g1_i10	RXOD01004370.1	65.732	321	86	6	820	1137	17938	18237	1.84e-13	78.8
TRINITY_DN21473_c0_g1_i10	RXOD01004370.1	71.538	130	37	0	1008	1137	16976	17105	3.32e-10	68.9
TRINITY_DN21473_c0_g1_i10	RXOD01004370.1	75.532	94	23	0	1044	1137	12755	12848	1.16e-09	67.1
TRINITY_DN21473_c0_g1_i8	RXOD01004370.1	65.732	321	86	6	853	1170	17938	18237	1.89e-13	78.8
TRINITY_DN21473_c0_g1_i8	RXOD01004370.1	71.538	130	37	0	1041	1170	16976	17105	3.42e-10	68.9
TRINITY_DN21473_c0_g1_i8	RXOD01004370.1	75.532	94	23	0	1077	1170	12755	12848	1.19e-09	67.1
TRINITY_DN21473_c0_g1_i1	RXOD01004370.1	65.732	321	86	6	821	1138	17938	18237	1.84e-13	78.8
TRINITY_DN21473_c0_g1_i1	RXOD01004370.1	71.538	130	37	0	1009	1138	16976	17105	3.33e-10	68.9
TRINITY_DN21473_c0_g1_i1	RXOD01004370.1	75.532	94	23	0	1045	1138	12755	12848	1.16e-09	67.1
TRINITY_DN21405_c0_g1_i2	RXOD01005015.1	72.768	224	55	3	1436	1653	6740	6517	2.71e-26	122
TRINITY_DN21405_c0_g1_i1	RXOD01005015.1	72.768	224	55	3	1353	1570	6740	6517	2.58e-26	122
TRINITY_DN21405_c0_g1_i4	RXOD01005015.1	72.768	224	55	3	1431	1648	6740	6517	2.70e-26	122
TRINITY_DN21405_c0_g1_i3	RXOD01005015.1	72.768	224	55	3	1243	1460	6740	6517	2.42e-26	122
TRINITY_DN21443_c0_g1_i2	RXOD01013141.1	70.395	152	39	3	79	224	1319	1168	7.78e-10	64.4
TRINITY_DN21465_c0_g1_i3	RXOD01005812.1	69.811	477	136	6	858	1330	12415	11943	1.65e-47	192
TRINITY_DN21465_c0_g1_i2	RXOD01005812.1	69.811	477	136	6	858	1330	12415	11943	1.54e-47	192
TRINITY_DN21465_c0_g1_i11	RXOD01005812.1	70.286	175	48	2	58	232	11384	11214	6.18e-13	77.0
TRINITY_DN21465_c0_g1_i7	RXOD01005812.1	69.811	477	136	6	858	1330	12415	11943	4.84e-47	192
TRINITY_DN21465_c0_g1_i7	RXOD01005812.1	67.954	259	74	5	1594	1849	11466	11214	7.68e-13	79.7
TRINITY_DN21465_c0_g1_i4	RXOD01005812.1	69.811	477	136	6	858	1330	12415	11943	3.18e-47	192
TRINITY_DN21465_c0_g1_i4	RXOD01005812.1	67.954	259	74	5	1594	1849	11466	11214	5.04e-13	79.7
TRINITY_DN21465_c0_g1_i10	RXOD01005812.1	69.811	477	136	6	622	1094	12415	11943	4.60e-47	192
TRINITY_DN21465_c0_g1_i10	RXOD01005812.1	67.954	259	74	5	1358	1613	11466	11214	7.31e-13	79.7
TRINITY_DN21465_c0_g1_i5	RXOD01005812.1	69.811	477	136	6	622	1094	12415	11943	2.94e-47	192
TRINITY_DN21465_c0_g1_i5	RXOD01005812.1	67.954	259	74	5	1358	1613	11466	11214	4.67e-13	79.7
TRINITY_DN21404_c0_g1_i2	RXOD01006733.1	94.595	37	0	1	367	401	37	1	7.90e-07	56.3
TRINITY_DN21404_c0_g1_i6	RXOD01006733.1	94.595	37	0	1	527	561	37	1	1.08e-06	56.3
TRINITY_DN21404_c0_g1_i1	RXOD01006733.1	94.595	37	0	1	571	605	37	1	1.16e-06	56.3
TRINITY_DN21466_c0_g1_i16	RXOD01010458.1	78.448	116	25	0	764	879	571	456	1.29e-18	97.8
TRINITY_DN21466_c0_g1_i30	RXOD01010458.1	79.310	116	24	0	1511	1626	571	456	2.31e-20	102
TRINITY_DN21466_c0_g1_i19	RXOD01010458.1	78.448	116	25	0	179	294	571	456	9.48e-19	97.8
