target_id	length	eff_length	est_counts	tpm
TRINITY_DN21519_c0_g1_i1	304	165.313	0	0
TRINITY_DN21515_c0_g2_i1	205	79.9346	1.0721	0.659102
TRINITY_DN21515_c0_g1_i1	449	301.922	73.2416	11.9211
TRINITY_DN21442_c1_g1_i1	203	78.3267	0	0
TRINITY_DN21442_c0_g1_i1	283	146.387	0	0
TRINITY_DN21452_c0_g1_i1	332	190.495	0	0
TRINITY_DN21452_c0_g1_i10	429	282.36	0	0
TRINITY_DN21452_c0_g1_i11	414	268.054	0	0
TRINITY_DN21452_c0_g1_i2	401	255.503	0	0
TRINITY_DN21452_c0_g1_i3	486	338.384	0	0
TRINITY_DN21452_c0_g1_i4	313	173.5	1	0.28324
TRINITY_DN21452_c0_g1_i5	328	186.825	0	0
TRINITY_DN21452_c0_g1_i7	226	97.5458	0	0
TRINITY_DN21452_c0_g1_i8	294	156.085	0	0
TRINITY_DN21452_c0_g1_i9	218	90.7358	0	0
TRINITY_DN21452_c0_g2_i1	230	100.663	0	0
TRINITY_DN21452_c1_g1_i1	217	89.9015	0	0
TRINITY_DN21478_c0_g1_i1	292	154.297	3.09664	0.98625
TRINITY_DN21478_c0_g1_i2	720	570.943	34	2.92644
TRINITY_DN21520_c0_g1_i1	217	89.9015	0	0
TRINITY_DN21482_c0_g1_i1	215	88.2599	0	0
TRINITY_DN21438_c0_g1_i1	357	213.485	0	0
TRINITY_DN21438_c1_g1_i1	232	102.333	0	0
TRINITY_DN21536_c1_g1_i1	201	76.8324	2	1.2792
TRINITY_DN21536_c0_g2_i1	351	207.872	0	0
TRINITY_DN21536_c0_g1_i1	234	103.952	0	0
TRINITY_DN21536_c0_g1_i3	498	349.969	12	1.68502
TRINITY_DN21536_c0_g1_i4	231	101.527	0	0
TRINITY_DN21473_c0_g1_i1	313	173.5	2	0.56648
TRINITY_DN21528_c0_g1_i1	216	89.0557	0	0
TRINITY_DN21528_c0_g1_i2	599	450.277	0	0
TRINITY_DN21463_c0_g1_i1	245	112.991	0	0
TRINITY_DN21483_c0_g1_i1	207	81.6119	0	0
TRINITY_DN21483_c0_g1_i2	229	99.9445	0	0
TRINITY_DN21454_c1_g1_i1	284	147.185	0	0
TRINITY_DN21481_c3_g1_i1	285	147.999	0	0
TRINITY_DN21513_c1_g1_i1	625	476.095	4	0.412877
TRINITY_DN21513_c0_g1_i1	207	81.6119	0	0
TRINITY_DN21513_c0_g2_i1	244	112.188	0	0
TRINITY_DN21513_c0_g2_i10	354	210.701	0	0
TRINITY_DN21513_c0_g2_i3	412	266.135	0	0
TRINITY_DN21513_c0_g2_i6	470	322.517	0	0
TRINITY_DN21513_c0_g2_i8	244	112.188	0	0
TRINITY_DN21505_c1_g1_i1	205	79.9346	0	0
TRINITY_DN21509_c0_g1_i1	319	178.768	0	0
TRINITY_DN21443_c0_g1_i1	220	92.4421	18	9.56878
TRINITY_DN21487_c0_g1_i1	219	91.6105	0	0
TRINITY_DN21499_c0_g1_i1	211	84.9319	136	78.6904
TRINITY_DN21437_c1_g1_i1	214	87.4423	0	0
TRINITY_DN21437_c2_g1_i1	234	103.952	0	0
TRINITY_DN21444_c0_g1_i1	237	106.379	0	0
TRINITY_DN21444_c0_g2_i1	354	210.701	1.10611	0.257979
TRINITY_DN21436_c0_g1_i1	969	819.943	0	0
TRINITY_DN21436_c0_g1_i2	628	479.095	0	0
TRINITY_DN21469_c0_g1_i1	204	79.1781	0	0
TRINITY_DN21507_c0_g1_i1	262	128.046	0	0
TRINITY_DN21459_c0_g1_i1	262	128.046	0	0
TRINITY_DN21465_c0_g1_i1	213	86.6335	0	0
TRINITY_DN21510_c1_g1_i1	234	103.952	0	0
TRINITY_DN21525_c0_g1_i1	257	123.602	0	0
TRINITY_DN21525_c0_g1_i2	324	183.282	0	0
TRINITY_DN21479_c0_g1_i1	258	124.442	0	0
TRINITY_DN21535_c0_g1_i1	214	87.4423	0	0
TRINITY_DN21462_c0_g1_i1	464	316.581	0	0
TRINITY_DN21462_c0_g1_i2	545	396.526	0	0
TRINITY_DN21530_c0_g1_i1	281	144.526	1	0.340024
TRINITY_DN21488_c0_g1_i1	274	138.396	0	0
TRINITY_DN21518_c0_g2_i1	537	388.565	0	0
TRINITY_DN21518_c0_g1_i1	545	396.526	0	0
TRINITY_DN21447_c0_g1_i1	298	159.737	3.34734	1.02979
TRINITY_DN21496_c0_g1_i1	239	108.011	0	0
TRINITY_DN21450_c0_g1_i1	225	96.6888	0	0
TRINITY_DN21531_c0_g1_i1	283	146.387	0	0
TRINITY_DN21534_c0_g1_i1	416	269.973	0	0
TRINITY_DN21446_c0_g1_i2	1211	1061.94	6.43602	0.297831
TRINITY_DN21446_c0_g1_i4	1046	896.943	1.56398	0.0856883
TRINITY_DN21517_c0_g2_i1	217	89.9015	0	0
TRINITY_DN21517_c0_g1_i1	245	112.991	10	4.34922
TRINITY_DN21517_c2_g1_i1	246	113.879	0	0
TRINITY_DN21440_c0_g2_i1	213	86.6335	0	0
TRINITY_DN21440_c0_g1_i1	315	175.301	0	0
TRINITY_DN21490_c0_g1_i1	260	126.293	1	0.389113
TRINITY_DN21494_c1_g1_i1	323	182.339	4.55812	1.22846
TRINITY_DN21494_c1_g1_i2	232	102.333	3.47137	1.66702
TRINITY_DN21494_c1_g1_i3	220	92.4421	17.8126	9.46917
TRINITY_DN21494_c1_g1_i4	233	103.183	0	0
TRINITY_DN21494_c2_g1_i1	213	86.6335	0	0
TRINITY_DN21500_c0_g2_i1	261	127.183	0	0
TRINITY_DN21500_c0_g1_i1	225	96.6888	0	0
TRINITY_DN21526_c0_g1_i1	328	186.825	1.00139	0.263404
TRINITY_DN21526_c0_g2_i1	298	159.737	0	0
TRINITY_DN21506_c0_g1_i1	337	195.02	0	0
TRINITY_DN21470_c0_g1_i1	394	248.861	5.00035	0.987411
TRINITY_DN21470_c1_g1_i1	381	236.351	5.00384	1.0404
TRINITY_DN21470_c6_g1_i1	362	218.222	3.00007	0.675596
TRINITY_DN21470_c5_g1_i1	261	127.183	2	0.772777
TRINITY_DN21470_c7_g1_i1	218	90.7358	0	0
TRINITY_DN21470_c4_g1_i1	237	106.379	0	0
TRINITY_DN21458_c0_g1_i1	232	102.333	0	0
TRINITY_DN21458_c1_g1_i1	265	130.587	0	0
TRINITY_DN21472_c2_g1_i1	216	89.0557	0	0
TRINITY_DN21472_c0_g1_i1	202	77.5942	0	0
TRINITY_DN21456_c2_g1_i1	280	143.632	1.0002	0.342205
TRINITY_DN21456_c0_g1_i1	284	147.185	0	0
TRINITY_DN21497_c1_g1_i1	228	99.1126	0	0
TRINITY_DN21504_c1_g1_i1	225	96.6888	19.4435	9.88215
TRINITY_DN21475_c1_g1_i1	220	92.4421	0	0
TRINITY_DN5656_c0_g1_i1	362	218.222	5.60877	1.26306
TRINITY_DN5656_c0_g1_i2	787	637.943	1.39186	0.107218
TRINITY_DN5656_c0_g1_i3	337	195.02	676.537	170.477
TRINITY_DN5625_c0_g1_i1	449	301.922	0	0
TRINITY_DN5625_c0_g1_i2	446	298.922	2.09487	0.344393
TRINITY_DN5625_c0_g1_i3	285	147.999	0	0
TRINITY_DN5625_c0_g1_i4	521	372.754	5.13003	0.676318
TRINITY_DN5625_c0_g2_i1	265	130.587	0	0
TRINITY_DN5625_c0_g2_i2	265	130.587	5.46939	2.05822
TRINITY_DN5625_c0_g2_i3	303	164.331	1.04422	0.312268
TRINITY_DN5625_c0_g2_i4	303	164.331	2.08844	0.624535
TRINITY_DN5625_c2_g1_i1	250	117.349	1	0.41877
TRINITY_DN5655_c0_g1_i1	1730	1580.94	96.8022	3.00901
TRINITY_DN5655_c0_g1_i2	1781	1631.94	6.19776	0.186631
TRINITY_DN5680_c0_g1_i1	937	787.943	269	16.7769
TRINITY_DN5627_c0_g1_i1	238	107.226	0	0
TRINITY_DN5636_c1_g1_i1	208	82.4584	0	0
TRINITY_DN5636_c0_g1_i1	399	253.632	0	0
TRINITY_DN5636_c0_g1_i11	1080	930.943	0	0
TRINITY_DN5636_c0_g1_i2	902	752.943	0	0
TRINITY_DN5636_c0_g1_i3	955	805.943	0	0
TRINITY_DN5636_c0_g1_i4	613	464.141	0	0
TRINITY_DN5636_c0_g1_i5	805	655.943	1	0.0749183
TRINITY_DN5636_c0_g1_i6	998	848.943	0	0
TRINITY_DN5636_c0_g1_i9	738	588.943	0	0
TRINITY_DN5653_c0_g3_i1	210	84.0891	7.61835	4.4522
TRINITY_DN5653_c0_g1_i1	224	95.8417	43.961	22.5407
TRINITY_DN5653_c1_g1_i1	247	114.766	3.10324	1.32878
TRINITY_DN5653_c0_g4_i1	206	80.8213	11.9122	7.24302
TRINITY_DN5653_c0_g2_i1	234	103.952	8.23325	3.89217
TRINITY_DN5653_c0_g2_i2	236	105.567	20.769	9.66804
TRINITY_DN5653_c0_g2_i3	232	102.333	4.33022	2.07945
TRINITY_DN5633_c0_g3_i1	511	362.828	0	0
TRINITY_DN5633_c0_g3_i2	502	353.864	0	0
TRINITY_DN5633_c0_g3_i3	349	205.977	0	0
TRINITY_DN5633_c0_g1_i1	265	130.587	35.7205	13.4422
TRINITY_DN5633_c0_g1_i2	270	134.877	20.7116	7.54621
TRINITY_DN5633_c0_g2_i1	305	166.279	1.02794	0.303797
TRINITY_DN5633_c0_g2_i2	277	141.055	2.05179	0.714823
TRINITY_DN5633_c0_g2_i3	207	81.6119	0	0
TRINITY_DN5693_c0_g1_i2	288	150.763	0	0
TRINITY_DN5693_c0_g1_i3	274	138.396	0	0
TRINITY_DN5693_c0_g1_i4	363	219.178	2	0.448423
TRINITY_DN5603_c0_g1_i1	384	239.183	52	10.6838
TRINITY_DN5610_c0_g1_i1	2266	2116.94	0	0
TRINITY_DN5610_c0_g1_i2	3069	2919.94	0	0
TRINITY_DN5610_c0_g1_i5	3252	3102.94	30.8571	0.488693
TRINITY_DN5610_c0_g1_i6	3252	3102.94	77.1429	1.22173
TRINITY_DN5610_c0_g1_i7	231	101.527	0	0
TRINITY_DN5661_c0_g1_i1	577	428.277	0	0
TRINITY_DN5661_c0_g1_i3	349	205.977	0	0
TRINITY_DN5661_c0_g1_i4	777	627.943	0	0
TRINITY_DN5661_c0_g1_i5	304	165.313	0	0
TRINITY_DN5661_c0_g1_i6	349	205.977	0	0
TRINITY_DN5661_c0_g1_i7	282	145.48	0	0
TRINITY_DN5661_c0_g1_i8	390	245.01	0	0
TRINITY_DN5661_c0_g2_i1	326	185.017	0	0
TRINITY_DN5661_c0_g4_i1	285	147.999	0	0
TRINITY_DN5661_c0_g4_i2	313	173.5	0	0
TRINITY_DN5661_c0_g4_i3	330	188.71	0	0
TRINITY_DN5661_c0_g4_i4	477	329.484	0	0
TRINITY_DN5661_c0_g4_i5	329	187.729	0	0
TRINITY_DN5607_c0_g1_i1	273	137.514	70	25.0153
TRINITY_DN5630_c0_g1_i1	618	469.095	5.10208	0.534491
TRINITY_DN5630_c0_g1_i2	423	276.641	3.2772	0.582158
TRINITY_DN5630_c0_g1_i3	580	431.277	5.90521	0.672872
TRINITY_DN5630_c0_g1_i4	284	147.185	2.7155	0.90665
TRINITY_DN5664_c0_g1_i1	430	283.303	56	9.71382
TRINITY_DN5668_c0_g1_i1	398	252.657	0	0
TRINITY_DN5668_c0_g1_i2	294	156.085	3	0.944527
TRINITY_DN5613_c0_g2_i1	239	108.011	0	0
TRINITY_DN5613_c0_g1_i1	370	225.748	0	0
TRINITY_DN5613_c0_g1_i2	268	133.164	0	0
TRINITY_DN5613_c0_g1_i3	327	185.902	0	0
TRINITY_DN5613_c0_g1_i4	334	192.358	0	0
TRINITY_DN5613_c0_g1_i5	232	102.333	0	0
TRINITY_DN5644_c0_g1_i1	478	330.484	212	31.5238
TRINITY_DN5614_c0_g1_i1	231	101.527	342	165.539
TRINITY_DN5651_c0_g1_i1	275	139.293	0	0
TRINITY_DN5651_c0_g1_i2	267	132.292	0	0
TRINITY_DN5651_c0_g1_i3	267	132.292	0	0
TRINITY_DN5669_c0_g1_i1	471	323.517	11	1.6709
TRINITY_DN5673_c0_g1_i1	482	334.417	0	0
TRINITY_DN5673_c0_g1_i2	579	430.277	0	0
TRINITY_DN5692_c0_g1_i1	833	683.943	0	0
TRINITY_DN5692_c0_g1_i2	874	724.943	365	24.7425
TRINITY_DN5612_c0_g1_i1	1124	974.943	87	4.38525
TRINITY_DN5620_c0_g1_i1	216	89.0557	5	2.75906
TRINITY_DN5654_c0_g1_i1	463	315.613	0.0482137	0.00750705
TRINITY_DN5654_c0_g1_i10	458	310.739	0.705755	0.111612
TRINITY_DN5654_c0_g1_i12	228	99.1126	2.15369	1.06785
TRINITY_DN5654_c0_g1_i13	305	166.279	0	0
TRINITY_DN5654_c0_g1_i2	223	95.0043	4.86257	2.51522
TRINITY_DN5654_c0_g1_i3	310	170.787	2.02992	0.58409
TRINITY_DN5654_c0_g1_i5	466	318.581	0	0
TRINITY_DN5654_c0_g1_i6	446	298.922	7.19168	1.1823
TRINITY_DN5654_c0_g1_i7	290	152.571	46.5962	15.0083
TRINITY_DN5654_c0_g1_i8	331	189.613	0	0
TRINITY_DN5654_c2_g1_i1	229	99.9445	0	0
TRINITY_DN5654_c0_g2_i1	337	195.02	0	0
TRINITY_DN5665_c0_g1_i2	329	187.729	9.07965	2.37679
TRINITY_DN5665_c0_g1_i3	276	140.13	2.71938	0.95366
TRINITY_DN5665_c0_g1_i4	354	210.701	0	0
TRINITY_DN5665_c0_g1_i5	518	369.754	0	0
TRINITY_DN5665_c0_g1_i6	344	201.33	0	0
TRINITY_DN5665_c0_g1_i7	508	359.828	5.20098	0.710303
TRINITY_DN5608_c0_g1_i1	565	416.403	313	36.9389
TRINITY_DN5697_c1_g2_i1	243	111.311	26.3539	11.6349
TRINITY_DN5697_c1_g2_i2	249	116.489	3.20212	1.35085
TRINITY_DN5697_c1_g1_i1	320	179.638	0	0
TRINITY_DN5697_c1_g1_i2	330	188.71	0	0
TRINITY_DN5697_c1_g1_i3	237	106.379	0	0
TRINITY_DN5697_c1_g1_i4	210	84.0891	0	0
